PERIODO,DESEMPLEO,CCAA
2013,33.87, Extremadura
2014,29.79, Extremadura
2015,29.1, Extremadura
2016,27.52, Extremadura
2017,26.22, Extremadura
2018,23.64, Extremadura
2019,21.54, Extremadura
2020,21.8, Extremadura
2000,51.26, Galicia
2001,49.69, Galicia
2002,12.15, Galicia
2003,12.67, Galicia
2004,13.54, Galicia
2005,9.89, Galicia
2006,8.35, Galicia
2007,7.58, Galicia
2008,8.64, Galicia
2009,12.44, Galicia
2010,15.32, Galicia
2011,17.26, Galicia
2012,20.53, Galicia
2013,22.04, Galicia
2014,21.65, Galicia
2015,19.31, Galicia
2016,17.15, Galicia
2017,15.67, Galicia
2018,13.34, Galicia
2019,11.76, Galicia
2020,12.01, Galicia
2000,57.04," Madrid, Comunidad de"
2001,56.96," Madrid, Comunidad de"
2002,7.3," Madrid, Comunidad de"
2003,7.37," Madrid, Comunidad de"
2004,6.74," Madrid, Comunidad de"
2005,6.84," Madrid, Comunidad de"
2006,6.3," Madrid, Comunidad de"
2007,6.24," Madrid, Comunidad de"
2008,8.6," Madrid, Comunidad de"
2009,13.86," Madrid, Comunidad de"
2010,15.84," Madrid, Comunidad de"
2011,16.34," Madrid, Comunidad de"
2012,18.53," Madrid, Comunidad de"
2013,19.76," Madrid, Comunidad de"
2014,18.75," Madrid, Comunidad de"
2015,17.06," Madrid, Comunidad de"
2016,15.71," Madrid, Comunidad de"
2017,13.34," Madrid, Comunidad de"
2018,12.22," Madrid, Comunidad de"
2019,10.62," Madrid, Comunidad de"
2020,12.5," Madrid, Comunidad de"
2000,54.43," Murcia, Región de"
2001,53.92," Murcia, Región de"
2002,11.3," Murcia, Región de"
2003,10.79," Murcia, Región de"
2004,10.73," Murcia, Región de"
2005,8.04," Murcia, Región de"
2006,7.88," Murcia, Región de"
2007,7.54," Murcia, Región de"
2008,12.43," Murcia, Región de"
2009,20.33," Murcia, Región de"
2010,22.86," Murcia, Región de"
2011,24.98," Murcia, Región de"
2012,27.62," Murcia, Región de"
2013,28.98," Murcia, Región de"
2014,26.58," Murcia, Región de"
2015,24.62," Murcia, Región de"
2016,19.78," Murcia, Región de"
2017,18.03," Murcia, Región de"
2018,16.76," Murcia, Región de"
2019,14.68," Murcia, Región de"
2020,16.17," Murcia, Región de"
2000,55.39," Navarra, Comunidad Foral de"
2001,55.35," Navarra, Comunidad Foral de"
2002,5.84," Navarra, Comunidad Foral de"
2003,5.8," Navarra, Comunidad Foral de"
2004,5.57," Navarra, Comunidad Foral de"
2005,5.65," Navarra, Comunidad Foral de"
2006,5.38," Navarra, Comunidad Foral de"
2007,4.72," Navarra, Comunidad Foral de"
2008,6.83," Navarra, Comunidad Foral de"
2009,10.83," Navarra, Comunidad Foral de"
2010,11.9," Navarra, Comunidad Foral de"
2011,12.99," Navarra, Comunidad Foral de"
2012,16.16," Navarra, Comunidad Foral de"
2013,17.93," Navarra, Comunidad Foral de"
2014,15.71," Navarra, Comunidad Foral de"
2015,13.83," Navarra, Comunidad Foral de"
2016,12.48," Navarra, Comunidad Foral de"
2017,10.24," Navarra, Comunidad Foral de"
2018,10.03," Navarra, Comunidad Foral de"
2019,8.24," Navarra, Comunidad Foral de"
2020,10.06," Navarra, Comunidad Foral de"
2000,53.87, País Vasco
2001,54.15, País Vasco
2002,9.56, País Vasco
2003,9.5, País Vasco
2004,9.82, País Vasco
2005,7.41, País Vasco
2006,7.16, País Vasco
2007,6.22, País Vasco
2008,6.62, País Vasco
2009,11.34, País Vasco
2010,10.69, País Vasco
2011,12.35, País Vasco
2012,15.6, País Vasco
2013,16.57, País Vasco
2014,16.32, País Vasco
2015,14.76, País Vasco
2016,12.59, País Vasco
2017,11.3, País Vasco
2018,9.97, País Vasco
2019,9.15, País Vasco
2020,9.54, País Vasco
2000,51.27," Rioja, La"
2001,50.44," Rioja, La"
2002,7.05," Rioja, La"
2003,6.03," Rioja, La"
2004,5.95," Rioja, La"
2005,6.38," Rioja, La"
2006,6.11," Rioja, La"
2007,5.77," Rioja, La"
2008,7.89," Rioja, La"
2009,12.65," Rioja, La"
2010,14.14," Rioja, La"
2011,17.21," Rioja, La"
2012,20.57," Rioja, La"
2013,20.04," Rioja, La"
2014,18.16," Rioja, La"
2015,15.38," Rioja, La"
2016,13.54," Rioja, La"
2017,11.99," Rioja, La"
2018,10.4," Rioja, La"
2019,9.96," Rioja, La"
2020,10.8," Rioja, La"
2000,55.49, Ceuta y Melilla
2001,46.29, Ceuta y Melilla
2002,3.52, Ceuta y Melilla
2003,4.74, Ceuta y Melilla
2004,5.43, Ceuta y Melilla
2005,9.72, Ceuta y Melilla
2006,10.62, Ceuta y Melilla
2007,10.5, Ceuta y Melilla
2008,8.73, Ceuta y Melilla
2009,9.32, Ceuta y Melilla
2010,11.96, Ceuta y Melilla
2011,13.87, Ceuta y Melilla
2012,18.51, Ceuta y Melilla
2013,17.4, Ceuta y Melilla
2014,15.92, Ceuta y Melilla
2015,13.78, Ceuta y Melilla
2016,12.44, Ceuta y Melilla
2017,11.19, Ceuta y Melilla
2018,14.46, Ceuta y Melilla
2019,12.91, Ceuta y Melilla
2020,12.26, Ceuta y Melilla
