PERIODO,SUICIDIOS,CCAA
2010,81, Extremadura
2009,73, Extremadura
2008,78, Extremadura
2007,74, Extremadura
2006,70, Extremadura
2005,89, Extremadura
2004,93, Extremadura
2003,69, Extremadura
2002,90, Extremadura
2001,67, Extremadura
2000,80, Extremadura
2020,305, Galicia
2019,292, Galicia
2018,274, Galicia
2017,323, Galicia
2016,338, Galicia
2015,318, Galicia
2014,371, Galicia
2013,333, Galicia
2012,332, Galicia
2011,306, Galicia
2010,275, Galicia
2009,340, Galicia
2008,296, Galicia
2007,304, Galicia
2006,300, Galicia
2005,329, Galicia
2004,301, Galicia
2003,337, Galicia
2002,284, Galicia
2001,266, Galicia
2000,293, Galicia
2020,373," Madrid, Comunidad de"
2019,350," Madrid, Comunidad de"
2018,342," Madrid, Comunidad de"
2017,341," Madrid, Comunidad de"
2016,305," Madrid, Comunidad de"
2015,327," Madrid, Comunidad de"
2014,345," Madrid, Comunidad de"
2013,333," Madrid, Comunidad de"
2012,95," Madrid, Comunidad de"
2011,139," Madrid, Comunidad de"
2010,122," Madrid, Comunidad de"
2009,153," Madrid, Comunidad de"
2008,179," Madrid, Comunidad de"
2007,159," Madrid, Comunidad de"
2006,219," Madrid, Comunidad de"
2005,257," Madrid, Comunidad de"
2004,304," Madrid, Comunidad de"
2003,279," Madrid, Comunidad de"
2002,267," Madrid, Comunidad de"
2001,251," Madrid, Comunidad de"
2000,223," Madrid, Comunidad de"
2020,122," Murcia, Región de"
2019,125," Murcia, Región de"
2018,127," Murcia, Región de"
2017,98," Murcia, Región de"
2016,119," Murcia, Región de"
2015,106," Murcia, Región de"
2014,106," Murcia, Región de"
2013,102," Murcia, Región de"
2012,106," Murcia, Región de"
2011,116," Murcia, Región de"
2010,90," Murcia, Región de"
2009,97," Murcia, Región de"
2008,115," Murcia, Región de"
2007,101," Murcia, Región de"
2006,124," Murcia, Región de"
2005,101," Murcia, Región de"
2004,120," Murcia, Región de"
2003,95," Murcia, Región de"
2002,99," Murcia, Región de"
2001,90," Murcia, Región de"
2000,112," Murcia, Región de"
2020,44," Navarra, Comunidad Foral de"
2019,46," Navarra, Comunidad Foral de"
2018,39," Navarra, Comunidad Foral de"
2017,48," Navarra, Comunidad Foral de"
2016,51," Navarra, Comunidad Foral de"
2015,53," Navarra, Comunidad Foral de"
2014,47," Navarra, Comunidad Foral de"
2013,52," Navarra, Comunidad Foral de"
2012,48," Navarra, Comunidad Foral de"
2011,51," Navarra, Comunidad Foral de"
2010,39," Navarra, Comunidad Foral de"
2009,59," Navarra, Comunidad Foral de"
2008,52," Navarra, Comunidad Foral de"
2007,62," Navarra, Comunidad Foral de"
2006,41," Navarra, Comunidad Foral de"
2005,56," Navarra, Comunidad Foral de"
2004,59," Navarra, Comunidad Foral de"
2003,53," Navarra, Comunidad Foral de"
2002,56," Navarra, Comunidad Foral de"
2001,44," Navarra, Comunidad Foral de"
2000,46," Navarra, Comunidad Foral de"
2020,179, País Vasco
2019,137, País Vasco
2018,163, País Vasco
2017,182, País Vasco
2016,179, País Vasco
2015,168, País Vasco
2014,186, País Vasco
2013,181, País Vasco
2012,180, País Vasco
2011,172, País Vasco
2010,126, País Vasco
2009,167, País Vasco
2008,171, País Vasco
2007,179, País Vasco
2006,148, País Vasco
2005,170, País Vasco
2004,171, País Vasco
2003,162, País Vasco
2002,188, País Vasco
2001,153, País Vasco
2000,169, País Vasco
2020,29," Rioja, La"
2019,29," Rioja, La"
2018,21," Rioja, La"
2017,25," Rioja, La"
2016,28," Rioja, La"
2015,25," Rioja, La"
2014,31," Rioja, La"
2013,24," Rioja, La"
2012,30," Rioja, La"
2011,23," Rioja, La"
2010,17," Rioja, La"
2009,27," Rioja, La"
2008,28," Rioja, La"
2007,19," Rioja, La"
2006,28," Rioja, La"
2005,27," Rioja, La"
2004,27," Rioja, La"
2003,28," Rioja, La"
2002,34," Rioja, La"
2001,33," Rioja, La"
2000,18," Rioja, La"
2020,8, Ceuta y Melilla
2019,5, Ceuta y Melilla
2018,2, Ceuta y Melilla
2017,5, Ceuta y Melilla
2016,6, Ceuta y Melilla
2015,7, Ceuta y Melilla
2014,11, Ceuta y Melilla
2013,5, Ceuta y Melilla
2012,9, Ceuta y Melilla
2011,6, Ceuta y Melilla
2010,5, Ceuta y Melilla
2009,13, Ceuta y Melilla
2008,9, Ceuta y Melilla
2007,8, Ceuta y Melilla
2006,1, Ceuta y Melilla
2005,5, Ceuta y Melilla
2004,5, Ceuta y Melilla
2003,5, Ceuta y Melilla
2002,7, Ceuta y Melilla
2001,4, Ceuta y Melilla
2000,6, Ceuta y Melilla
