PERIODO,SUICIDIOS HOMBRES,CCAA
2011,59, Extremadura
2010,73, Extremadura
2009,56, Extremadura
2008,68, Extremadura
2007,63, Extremadura
2006,58, Extremadura
2005,74, Extremadura
2004,73, Extremadura
2003,48, Extremadura
2002,72, Extremadura
2001,55, Extremadura
2000,67, Extremadura
2020,219, Galicia
2019,220, Galicia
2018,192, Galicia
2017,242, Galicia
2016,235, Galicia
2015,229, Galicia
2014,279, Galicia
2013,245, Galicia
2012,252, Galicia
2011,240, Galicia
2010,202, Galicia
2009,252, Galicia
2008,215, Galicia
2007,216, Galicia
2006,223, Galicia
2005,239, Galicia
2004,224, Galicia
2003,246, Galicia
2002,208, Galicia
2001,193, Galicia
2000,220, Galicia
2020,258," Madrid, Comunidad de"
2019,245," Madrid, Comunidad de"
2018,232," Madrid, Comunidad de"
2017,251," Madrid, Comunidad de"
2016,218," Madrid, Comunidad de"
2015,225," Madrid, Comunidad de"
2014,246," Madrid, Comunidad de"
2013,227," Madrid, Comunidad de"
2012,71," Madrid, Comunidad de"
2011,108," Madrid, Comunidad de"
2010,93," Madrid, Comunidad de"
2009,117," Madrid, Comunidad de"
2008,139," Madrid, Comunidad de"
2007,112," Madrid, Comunidad de"
2006,169," Madrid, Comunidad de"
2005,192," Madrid, Comunidad de"
2004,222," Madrid, Comunidad de"
2003,201," Madrid, Comunidad de"
2002,192," Madrid, Comunidad de"
2001,183," Madrid, Comunidad de"
2000,174," Madrid, Comunidad de"
2020,101," Murcia, Región de"
2019,101," Murcia, Región de"
2018,94," Murcia, Región de"
2017,82," Murcia, Región de"
2016,93," Murcia, Región de"
2015,78," Murcia, Región de"
2014,71," Murcia, Región de"
2013,78," Murcia, Región de"
2012,86," Murcia, Región de"
2011,93," Murcia, Región de"
2010,71," Murcia, Región de"
2009,82," Murcia, Región de"
2008,86," Murcia, Región de"
2007,85," Murcia, Región de"
2006,99," Murcia, Región de"
2005,82," Murcia, Región de"
2004,94," Murcia, Región de"
2003,78," Murcia, Región de"
2002,76," Murcia, Región de"
2001,68," Murcia, Región de"
2000,85," Murcia, Región de"
2020,32," Navarra, Comunidad Foral de"
2019,34," Navarra, Comunidad Foral de"
2018,28," Navarra, Comunidad Foral de"
2017,39," Navarra, Comunidad Foral de"
2016,34," Navarra, Comunidad Foral de"
2015,27," Navarra, Comunidad Foral de"
2014,38," Navarra, Comunidad Foral de"
2013,36," Navarra, Comunidad Foral de"
2012,39," Navarra, Comunidad Foral de"
2011,38," Navarra, Comunidad Foral de"
2010,31," Navarra, Comunidad Foral de"
2009,48," Navarra, Comunidad Foral de"
2008,36," Navarra, Comunidad Foral de"
2007,42," Navarra, Comunidad Foral de"
2006,32," Navarra, Comunidad Foral de"
2005,42," Navarra, Comunidad Foral de"
2004,41," Navarra, Comunidad Foral de"
2003,34," Navarra, Comunidad Foral de"
2002,46," Navarra, Comunidad Foral de"
2001,32," Navarra, Comunidad Foral de"
2000,37," Navarra, Comunidad Foral de"
2020,135, País Vasco
2019,111, País Vasco
2018,115, País Vasco
2017,136, País Vasco
2016,132, País Vasco
2015,128, País Vasco
2014,123, País Vasco
2013,130, País Vasco
2012,133, País Vasco
2011,123, País Vasco
2010,101, País Vasco
2009,127, País Vasco
2008,126, País Vasco
2007,130, País Vasco
2006,115, País Vasco
2005,127, País Vasco
2004,127, País Vasco
2003,122, País Vasco
2002,131, País Vasco
2001,103, País Vasco
2000,120, País Vasco
2020,21," Rioja, La"
2019,20," Rioja, La"
2018,16," Rioja, La"
2017,20," Rioja, La"
2016,19," Rioja, La"
2015,20," Rioja, La"
2014,27," Rioja, La"
2013,17," Rioja, La"
2012,23," Rioja, La"
2011,16," Rioja, La"
2010,15," Rioja, La"
2009,20," Rioja, La"
2008,20," Rioja, La"
2007,19," Rioja, La"
2006,23," Rioja, La"
2005,21," Rioja, La"
2004,21," Rioja, La"
2003,24," Rioja, La"
2002,29," Rioja, La"
2001,26," Rioja, La"
2000,13," Rioja, La"
2020,7, Ceuta y Melilla
2019,5, Ceuta y Melilla
2018,2, Ceuta y Melilla
2017,4, Ceuta y Melilla
2016,5, Ceuta y Melilla
2015,7, Ceuta y Melilla
2014,9, Ceuta y Melilla
2013,4, Ceuta y Melilla
2012,9, Ceuta y Melilla
2011,4, Ceuta y Melilla
2010,5, Ceuta y Melilla
2009,7, Ceuta y Melilla
2008,8, Ceuta y Melilla
2007,7, Ceuta y Melilla
2006,1, Ceuta y Melilla
2005,5, Ceuta y Melilla
2004,4, Ceuta y Melilla
2003,4, Ceuta y Melilla
2002,4, Ceuta y Melilla
2001,2, Ceuta y Melilla
2000,5, Ceuta y Melilla
