PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2006," Balears, Illes",6.5,5.26,8.18,97.0,67.0,30.0,23892.0
2007," Balears, Illes",7.22,6.05,8.78,104.0,81.0,23.0,23304.0
2008," Balears, Illes",10.19,9.7,10.84,90.0,70.0,20.0,23525.0
2009," Balears, Illes",17.97,19.25,16.4,87.0,60.0,27.0,24098.0
2010," Balears, Illes",20.18,20.83,19.39,96.0,75.0,21.0,24397.0
2011," Balears, Illes",21.95,22.39,21.42,104.0,85.0,19.0,24561.0
2012," Balears, Illes",23.26,22.48,24.16,80.0,64.0,16.0,26077.0
2013," Balears, Illes",22.34,22.59,22.02,77.0,61.0,16.0,25811.0
2014," Balears, Illes",20.14,21.5,18.55,68.0,55.0,13.0,25010.0
2015," Balears, Illes",17.41,17.42,17.4,70.0,56.0,14.0,23874.0
2016," Balears, Illes",13.96,13.47,14.51,68.0,54.0,14.0,22858.0
2017," Balears, Illes",12.53,12.46,12.6,71.0,60.0,11.0,22029.0
2018," Balears, Illes",11.68,12.14,11.13,58.0,46.0,12.0,21793.0
2019," Balears, Illes",11.82,10.34,13.54,48.0,39.0,9.0,21353.0
2020," Balears, Illes",16.19,14.98,17.6,59.0,51.0,8.0,20094.0
2000, Canarias,56.05,9.6,19.34,208.0,159.0,49.0,17448.0
2001, Canarias,55.62,7.94,15.22,197.0,165.0,32.0,21387.0
2002, Canarias,11.08,8.36,15.14,193.0,154.0,39.0,20943.0
2003, Canarias,11.34,8.76,15.05,200.0,147.0,53.0,20436.0
2004, Canarias,11.92,9.44,15.42,183.0,143.0,40.0,19612.0
2005, Canarias,11.71,10.01,14.1,190.0,142.0,48.0,19065.0
2006, Canarias,11.62,9.47,14.6,178.0,135.0,43.0,18536.0
2007, Canarias,10.45,8.62,12.92,185.0,138.0,47.0,18512.0
2008, Canarias,17.24,16.13,18.72,189.0,153.0,36.0,18733.0
2009, Canarias,26.0,25.58,26.55,142.0,107.0,35.0,19574.0
2010, Canarias,28.6,29.15,27.91,156.0,126.0,30.0,19878.0
2011, Canarias,29.28,29.4,29.13,160.0,129.0,31.0,19810.0
2012, Canarias,32.58,31.94,33.32,183.0,154.0,29.0,21049.0
2013, Canarias,33.73,34.34,33.01,157.0,122.0,35.0,21050.0
2014, Canarias,32.42,31.82,33.12,170.0,142.0,28.0,20323.0
2015, Canarias,29.1,27.89,30.55,158.0,119.0,39.0,19523.0
2016, Canarias,26.06,24.38,28.0,145.0,115.0,30.0,18737.0
2017, Canarias,23.47,21.25,25.98,129.0,111.0,18.0,18206.0
2018, Canarias,20.08,18.9,21.43,130.0,108.0,22.0,17491.0
2019, Canarias,20.5,19.31,21.86,120.0,102.0,18.0,16804.0
2020, Canarias,22.65,21.49,23.93,142.0,109.0,33.0,15622.0
2000, Cantabria,48.63,8.5,21.26,46.0,34.0,12.0,22096.0
2001, Cantabria,49.56,5.58,13.54,36.0,25.0,11.0,24350.0
2002, Cantabria,10.02,6.99,14.86,28.0,23.0,5.0,23656.0
2003, Cantabria,10.41,7.34,15.12,27.0,18.0,9.0,22767.0
2004, Cantabria,10.56,7.8,14.68,41.0,32.0,9.0,21905.0
2005, Cantabria,8.5,6.26,11.72,38.0,28.0,10.0,21122.0
2006, Cantabria,6.46,4.27,9.44,38.0,28.0,10.0,20568.0
2007, Cantabria,5.96,4.46,7.98,32.0,26.0,6.0,20159.0
2008, Cantabria,7.16,5.88,8.85,36.0,25.0,11.0,20585.0
2009, Cantabria,12.0,11.55,12.57,37.0,24.0,13.0,21338.0
2010, Cantabria,13.7,12.66,15.0,20.0,19.0,1.0,21772.0
2011, Cantabria,15.3,16.1,14.3,33.0,31.0,2.0,21795.0
2012, Cantabria,17.79,18.12,17.38,24.0,21.0,3.0,22818.0
2013, Cantabria,20.45,20.12,20.84,16.0,13.0,3.0,22390.0
2014, Cantabria,19.42,20.05,18.67,25.0,22.0,3.0,21163.0
2015, Cantabria,17.65,16.47,19.02,31.0,23.0,8.0,19963.0
2016, Cantabria,14.91,14.35,15.54,24.0,15.0,9.0,18720.0
2017, Cantabria,13.56,13.24,13.93,34.0,25.0,9.0,17780.0
2018, Cantabria,10.68,9.22,12.35,29.0,21.0,8.0,17076.0
2019, Cantabria,10.28,9.64,11.01,25.0,22.0,3.0,16123.0
2020, Cantabria,12.16,11.7,12.69,26.0,14.0,12.0,14934.0
2000,lla y León,48.82,9.29,23.45,228.0,177.0,51.0,23167.0
2001,lla y León,47.71,12.3,16.86,218.0,165.0,53.0,24910.0
2002,lla y León,10.46,10.8,16.6,213.0,158.0,55.0,24289.0
2003,lla y León,11.1,14.58,17.98,218.0,155.0,63.0,23130.0
2004,lla y León,10.71,11.6,16.83,215.0,161.0,54.0,22408.0
2005,lla y León,8.75,6.29,13.5,224.0,169.0,55.0,21603.0
2006,lla y León,8.12,6.5,12.28,240.0,187.0,53.0,20737.0
2007,lla y León,7.13,7.83,10.45,210.0,164.0,46.0,20550.0
2008,lla y León,9.61,8.26,13.36,200.0,154.0,46.0,20922.0
2009,lla y León,13.98,7.97,16.53,182.0,139.0,43.0,21475.0
2010,lla y León,15.8,5.9,17.86,216.0,172.0,44.0,21596.0
2011,lla y León,16.87,5.25,18.37,221.0,174.0,47.0,21509.0
2012,lla y León,19.8,5.6,22.06,218.0,174.0,44.0,22242.0
2013,lla y León,21.75,9.04,23.66,217.0,164.0,53.0,21938.0
2014,lla y León,20.76,17.21,22.69,194.0,162.0,32.0,20721.0
2015,lla y León,18.26,18.6,21.07,191.0,159.0,32.0,19544.0
2016,lla y León,15.82,19.77,17.9,218.0,169.0,49.0,18400.0
2017,lla y León,14.08,23.19,16.58,241.0,185.0,56.0,17363.0
2018,lla y León,12.1,23.74,14.21,220.0,168.0,52.0,16419.0
2019,lla y León,11.64,20.64,13.58,208.0,168.0,40.0,15466.0
2020,lla y León,12.07,17.84,13.79,241.0,179.0,62.0,14474.0
2000,lla - La Mancha,49.55,14.61,21.91,180.0,147.0,33.0,19369.0
2001,lla - La Mancha,48.68,12.52,16.25,152.0,115.0,37.0,20841.0
2002,lla - La Mancha,9.52,10.95,16.02,132.0,94.0,38.0,20431.0
2003,lla - La Mancha,10.14,10.59,17.14,157.0,126.0,31.0,19621.0
2004,lla - La Mancha,9.51,11.92,16.82,135.0,113.0,22.0,18752.0
2005,lla - La Mancha,9.22,14.04,15.07,167.0,140.0,27.0,18069.0
2006,lla - La Mancha,8.85,10.74,14.7,190.0,151.0,39.0,17099.0
2007,lla - La Mancha,7.66,7.79,11.57,184.0,152.0,32.0,17351.0
2008,lla - La Mancha,11.66,6.6,15.28,163.0,134.0,29.0,17572.0
2009,lla - La Mancha,18.87,8.15,21.36,145.0,121.0,24.0,18190.0
2010,lla - La Mancha,21.22,8.55,24.15,141.0,116.0,25.0,18515.0
2011,lla - La Mancha,23.08,8.2,26.08,157.0,140.0,17.0,18586.0
2012,lla - La Mancha,28.58,6.92,32.29,155.0,121.0,34.0,19471.0
2013,lla - La Mancha,29.97,6.42,33.26,141.0,116.0,25.0,19154.0
2014,lla - La Mancha,28.99,6.89,32.87,141.0,118.0,23.0,18132.0
2015,lla - La Mancha,26.34,10.92,31.29,152.0,125.0,27.0,17044.0
2016,lla - La Mancha,23.55,20.98,28.22,171.0,132.0,39.0,15979.0
2017,lla - La Mancha,20.76,22.93,25.97,149.0,128.0,21.0,15195.0
2018,lla - La Mancha,18.16,23.7,24.06,143.0,115.0,28.0,14300.0
2019,lla - La Mancha,16.2,27.36,21.27,134.0,110.0,24.0,13459.0
2020,lla - La Mancha,17.67,27.08,22.9,145.0,118.0,27.0,12448.0
2000, Cataluña,57.46,25.02,12.51,556.0,414.0,142.0,27812.0
2001, Cataluña,57.91,21.91,11.68,535.0,380.0,155.0,31209.0
2002, Cataluña,10.17,18.91,13.46,522.0,381.0,141.0,30481.0
2003, Cataluña,10.25,16.48,13.01,504.0,374.0,130.0,29727.0
2004, Cataluña,9.72,14.0,12.07,510.0,355.0,155.0,28680.0
2005, Cataluña,6.92,11.79,8.28,495.0,362.0,133.0,27630.0
