PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2004," Rioja, La",5.95,4.0,7.38,28.0,19.0,9.0,25636.0
2005," Rioja, La",6.38,7.35,9.7,25.0,20.0,5.0,25453.0
2006," Rioja, La",6.11,10.3,7.57,31.0,27.0,4.0,24471.0
2007," Rioja, La",5.77,11.09,8.32,24.0,17.0,7.0,23796.0
2008," Rioja, La",7.89,12.34,9.9,30.0,23.0,7.0,23857.0
2009," Rioja, La",12.65,14.16,12.72,23.0,16.0,7.0,24630.0
2010," Rioja, La",14.14,13.93,15.88,17.0,15.0,2.0,24938.0
2011," Rioja, La",17.21,15.39,17.9,27.0,20.0,7.0,24682.0
2012," Rioja, La",20.57,19.61,22.46,28.0,20.0,8.0,25898.0
2013," Rioja, La",20.04,20.55,21.0,19.0,19.0,0.0,25438.0
2014," Rioja, La",18.16,25.96,21.21,28.0,23.0,5.0,24307.0
2015," Rioja, La",15.38,30.88,16.88,27.0,21.0,6.0,22793.0
2016," Rioja, La",13.54,25.97,15.13,27.0,21.0,6.0,21615.0
2017," Rioja, La",11.99,25.59,14.84,28.0,24.0,4.0,20851.0
2018," Rioja, La",10.4,23.11,11.85,34.0,29.0,5.0,19705.0
2019," Rioja, La",9.96,18.85,9.76,33.0,26.0,7.0,18985.0
2020," Rioja, La",10.8,22.21,12.54,18.0,13.0,5.0,17854.0
2000, Ceuta y Melilla,55.49,22.65,36.43,8.0,7.0,1.0,18729.0
2001, Ceuta y Melilla,46.29,21.27,8.28,5.0,5.0,0.0,20092.0
2002, Ceuta y Melilla,3.52,15.51,8.95,2.0,2.0,0.0,19447.0
2003, Ceuta y Melilla,4.74,11.29,12.24,5.0,4.0,1.0,18725.0
2004, Ceuta y Melilla,5.43,15.53,20.51,6.0,5.0,1.0,18549.0
2005, Ceuta y Melilla,9.72,10.39,26.13,7.0,7.0,0.0,18082.0
2006, Ceuta y Melilla,10.62,14.59,25.68,11.0,9.0,2.0,17460.0
2007, Ceuta y Melilla,10.5,12.62,28.75,5.0,4.0,1.0,17489.0
2008, Ceuta y Melilla,8.73,18.47,27.15,9.0,9.0,0.0,17344.0
2009, Ceuta y Melilla,9.32,13.68,29.88,6.0,4.0,2.0,18342.0
2010, Ceuta y Melilla,11.96,18.43,29.31,5.0,5.0,0.0,18934.0
2011, Ceuta y Melilla,13.87,13.27,32.13,13.0,7.0,6.0,19344.0
2012, Ceuta y Melilla,18.51,18.62,40.69,9.0,8.0,1.0,20030.0
2013, Ceuta y Melilla,17.4,11.78,37.72,8.0,7.0,1.0,19804.0
2014, Ceuta y Melilla,15.92,19.63,35.83,1.0,1.0,0.0,19178.0
2015, Ceuta y Melilla,13.78,14.68,38.21,5.0,5.0,0.0,18235.0
2016, Ceuta y Melilla,12.44,19.84,34.79,5.0,4.0,1.0,17478.0
2017, Ceuta y Melilla,11.19,16.77,33.49,5.0,4.0,1.0,16469.0
2018, Ceuta y Melilla,14.46,21.76,33.87,7.0,4.0,3.0,15404.0
2019, Ceuta y Melilla,12.91,14.96,31.19,4.0,2.0,2.0,14575.0
2020, Ceuta y Melilla,12.26,21.2,27.68,6.0,5.0,1.0,14228.0
,,,14.5,,,,,
,,,20.64,,,,,
,,,16.13,,,,,
,,,22.57,,,,,
,,,18.27,,,,,
,,,25.73,,,,,
,,,18.24,,,,,
,,,24.87,,,,,
,,,17.4,,,,,
,,,25.62,,,,,
,,,20.14,,,,,
,,,25.77,,,,,
,,,21.02,,,,,
,,,27.91,,,,,
,,,20.8,,,,,
,,,26.55,,,,,
,,,18.81,,,,,
,,,27.23,,,,,
,,,19.47,,,,,
,,,27.89,,,,,
,,,21.68,,,,,
,,,28.27,,,,,
,,,19.23,,,,,
,,,26.31,,,,,
,,,17.06,,,,,
,,,25.55,,,,,
,,,17.97,,,,,
,,,26.26,,,,,
,,,17.9,,,,,
,,,25.11,,,,,
,,,15.84,,,,,
,,,22.65,,,,,
,,,15.28,,,,,
,,,20.6,,,,,
,,,15.46,,,,,
,,,20.65,,,,,
,,,16.19,,,,,
,,,19.62,,,,,
,,,14.43,,,,,
,,,19.54,,,,,
,,,13.42,,,,,
,,,17.69,,,,,
,,,14.17,,,,,
,,,19.73,,,,,
,,,14.88,,,,,
,,,19.91,,,,,
,,,12.55,,,,,
,,,17.51,,,,,
,,,10.85,,,,,
,,,16.71,,,,,
,,,12.75,,,,,
,,,17.83,,,,,
,,,12.16,,,,,
,,,16.72,,,,,
,,,8.87,,,,,
,,,13.46,,,,,
,,,7.17,,,,,
,,,9.16,,,,,
,,,6.34,,,,,
,,,7.73,,,,,
,,,5.3,,,,,
,,,6.76,,,,,
,,,4.71,,,,,
,,,5.62,,,,,
,,,5.12,,,,,
,,,5.03,,,,,
,,,4.5,,,,,
,,,5.4,,,,,
,,,4.88,,,,,
,,,4.82,,,,,
,,,4.83,,,,,
,,,4.47,,,,,
,,,4.93,,,,,
,,,5.82,,,,,
,,,5.26,,,,,
,,,5.63,,,,,
,,,5.97,,,,,
,,,5.39,,,,,
,,,5.75,,,,,
,,,5.94,,,,,
,,,5.0,,,,,
,,,5.22,,,,,
,,,5.4,,,,,
,,,5.52,,,,,
,,,6.21,,,,,
,,,6.31,,,,,
,,,6.46,,,,,
,,,6.01,,,,,
,,,6.24,,,,,
,,,5.24,,,,,
,,,6.92,,,,,
,,,4.51,,,,,
,,,7.31,,,,,
,,,5.28,,,,,
,,,6.55,,,,,
,,,5.52,,,,,
,,,6.62,,,,,
,,,5.69,,,,,
,,,6.35,,,,,
,,,5.99,,,,,
,,,7.2,,,,,
,,,7.03,,,,,
,,,6.45,,,,,
,,,5.88,,,,,
,,,6.64,,,,,
,,,5.75,,,,,
,,,6.52,,,,,
,,,6.26,,,,,
,,,7.06,,,,,
,,,5.66,,,,,
,,,6.34,,,,,
,,,5.58,,,,,
,,,5.55,,,,,
,,,5.44,,,,,
,,,5.77,,,,,
,,,6.14,,,,,
,,,6.41,,,,,
,,,6.51,,,,,
,,,7.55,,,,,
,,,8.16,,,,,
,,,7.05,,,,,
,,,6.62,,,,,
,,,7.73,,,,,
,,,7.25,,,,,
,,,8.85,,,,,
,,,7.96,,,,,
