PERIODO,SUICIDIOS MUJERES,CCAA
2011,11, Extremadura
2010,8, Extremadura
2009,17, Extremadura
2008,10, Extremadura
2007,11, Extremadura
2006,12, Extremadura
2005,15, Extremadura
2004,20, Extremadura
2003,21, Extremadura
2002,18, Extremadura
2001,12, Extremadura
2000,13, Extremadura
2020,86, Galicia
2019,72, Galicia
2018,82, Galicia
2017,81, Galicia
2016,103, Galicia
2015,89, Galicia
2014,92, Galicia
2013,88, Galicia
2012,80, Galicia
2011,66, Galicia
2010,73, Galicia
2009,88, Galicia
2008,81, Galicia
2007,88, Galicia
2006,77, Galicia
2005,90, Galicia
2004,77, Galicia
2003,91, Galicia
2002,76, Galicia
2001,73, Galicia
2000,73, Galicia
2020,115," Madrid, Comunidad de"
2019,105," Madrid, Comunidad de"
2018,110," Madrid, Comunidad de"
2017,90," Madrid, Comunidad de"
2016,87," Madrid, Comunidad de"
2015,102," Madrid, Comunidad de"
2014,99," Madrid, Comunidad de"
2013,106," Madrid, Comunidad de"
2012,24," Madrid, Comunidad de"
2011,31," Madrid, Comunidad de"
2010,29," Madrid, Comunidad de"
2009,36," Madrid, Comunidad de"
2008,40," Madrid, Comunidad de"
2007,47," Madrid, Comunidad de"
2006,50," Madrid, Comunidad de"
2005,65," Madrid, Comunidad de"
2004,82," Madrid, Comunidad de"
2003,78," Madrid, Comunidad de"
2002,75," Madrid, Comunidad de"
2001,68," Madrid, Comunidad de"
2000,49," Madrid, Comunidad de"
2020,21," Murcia, Región de"
2019,24," Murcia, Región de"
2018,33," Murcia, Región de"
2017,16," Murcia, Región de"
2016,26," Murcia, Región de"
2015,28," Murcia, Región de"
2014,35," Murcia, Región de"
2013,24," Murcia, Región de"
2012,20," Murcia, Región de"
2011,23," Murcia, Región de"
2010,19," Murcia, Región de"
2009,15," Murcia, Región de"
2008,29," Murcia, Región de"
2007,16," Murcia, Región de"
2006,25," Murcia, Región de"
2005,19," Murcia, Región de"
2004,26," Murcia, Región de"
2003,17," Murcia, Región de"
2002,23," Murcia, Región de"
2001,22," Murcia, Región de"
2000,27," Murcia, Región de"
2020,12," Navarra, Comunidad Foral de"
2019,12," Navarra, Comunidad Foral de"
2018,11," Navarra, Comunidad Foral de"
2017,9," Navarra, Comunidad Foral de"
2016,17," Navarra, Comunidad Foral de"
2015,26," Navarra, Comunidad Foral de"
2014,9," Navarra, Comunidad Foral de"
2013,16," Navarra, Comunidad Foral de"
2012,9," Navarra, Comunidad Foral de"
2011,13," Navarra, Comunidad Foral de"
2010,8," Navarra, Comunidad Foral de"
2009,11," Navarra, Comunidad Foral de"
2008,16," Navarra, Comunidad Foral de"
2007,20," Navarra, Comunidad Foral de"
2006,9," Navarra, Comunidad Foral de"
2005,14," Navarra, Comunidad Foral de"
2004,18," Navarra, Comunidad Foral de"
2003,19," Navarra, Comunidad Foral de"
2002,10," Navarra, Comunidad Foral de"
2001,12," Navarra, Comunidad Foral de"
2000,9," Navarra, Comunidad Foral de"
2020,44, País Vasco
2019,26, País Vasco
2018,48, País Vasco
2017,46, País Vasco
2016,47, País Vasco
2015,40, País Vasco
2014,63, País Vasco
2013,51, País Vasco
2012,47, País Vasco
2011,49, País Vasco
2010,25, País Vasco
2009,40, País Vasco
2008,45, País Vasco
2007,49, País Vasco
2006,33, País Vasco
2005,43, País Vasco
2004,44, País Vasco
2003,40, País Vasco
2002,57, País Vasco
2001,50, País Vasco
2000,49, País Vasco
2020,8," Rioja, La"
2019,9," Rioja, La"
2018,5," Rioja, La"
2017,5," Rioja, La"
2016,9," Rioja, La"
2015,5," Rioja, La"
2014,4," Rioja, La"
2013,7," Rioja, La"
2012,7," Rioja, La"
2011,7," Rioja, La"
2010,2," Rioja, La"
2009,7," Rioja, La"
2008,8," Rioja, La"
2007,0," Rioja, La"
2006,5," Rioja, La"
2005,6," Rioja, La"
2004,6," Rioja, La"
2003,4," Rioja, La"
2002,5," Rioja, La"
2001,7," Rioja, La"
2000,5," Rioja, La"
2020,1, Ceuta y Melilla
2019,0, Ceuta y Melilla
2018,0, Ceuta y Melilla
2017,1, Ceuta y Melilla
2016,1, Ceuta y Melilla
2015,0, Ceuta y Melilla
2014,2, Ceuta y Melilla
2013,1, Ceuta y Melilla
2012,0, Ceuta y Melilla
2011,2, Ceuta y Melilla
2010,0, Ceuta y Melilla
2009,6, Ceuta y Melilla
2008,1, Ceuta y Melilla
2007,1, Ceuta y Melilla
2006,0, Ceuta y Melilla
2005,0, Ceuta y Melilla
2004,1, Ceuta y Melilla
2003,1, Ceuta y Melilla
2002,3, Ceuta y Melilla
2001,2, Ceuta y Melilla
2000,1, Ceuta y Melilla
