EDAD,PERIODO,SUICIDIOS HOMBRES
De 65 a 69 años,2004,159
De 65 a 69 años,2003,166
De 65 a 69 años,2002,188
De 65 a 69 años,2001,198
De 65 a 69 años,2000,201
De 70 a 74 años  ,2020,192
De 70 a 74 años  ,2019,177
De 70 a 74 años  ,2018,160
De 70 a 74 años  ,2017,166
De 70 a 74 años  ,2016,154
De 70 a 74 años  ,2015,143
De 70 a 74 años  ,2014,158
De 70 a 74 años  ,2013,182
De 70 a 74 años  ,2012,155
De 70 a 74 años  ,2011,138
De 70 a 74 años  ,2010,141
De 70 a 74 años  ,2009,179
De 70 a 74 años  ,2008,172
De 70 a 74 años  ,2007,170
De 70 a 74 años  ,2006,195
De 70 a 74 años  ,2005,205
De 70 a 74 años  ,2004,212
De 70 a 74 años  ,2003,204
De 70 a 74 años  ,2002,191
De 70 a 74 años  ,2001,174
De 70 a 74 años  ,2000,205
De 75 a 79 años  ,2020,162
De 75 a 79 años  ,2019,171
De 75 a 79 años  ,2018,129
De 75 a 79 años  ,2017,145
De 75 a 79 años  ,2016,178
De 75 a 79 años  ,2015,178
De 75 a 79 años  ,2014,194
De 75 a 79 años  ,2013,181
De 75 a 79 años  ,2012,213
De 75 a 79 años  ,2011,216
De 75 a 79 años  ,2010,177
De 75 a 79 años  ,2009,221
De 75 a 79 años  ,2008,191
De 75 a 79 años  ,2007,200
De 75 a 79 años  ,2006,187
De 75 a 79 años  ,2005,209
De 75 a 79 años  ,2004,207
De 75 a 79 años  ,2003,214
De 75 a 79 años  ,2002,215
De 75 a 79 años  ,2001,197
De 75 a 79 años  ,2000,196
De 80 a 84 años  ,2020,184
De 80 a 84 años  ,2019,163
De 80 a 84 años  ,2018,167
De 80 a 84 años  ,2017,204
De 80 a 84 años  ,2016,181
De 80 a 84 años  ,2015,205
De 80 a 84 años  ,2014,184
De 80 a 84 años  ,2013,203
De 80 a 84 años  ,2012,201
De 80 a 84 años  ,2011,172
De 80 a 84 años  ,2010,158
De 80 a 84 años  ,2009,147
De 80 a 84 años  ,2008,170
De 80 a 84 años  ,2007,179
De 80 a 84 años  ,2006,180
De 80 a 84 años  ,2005,165
De 80 a 84 años  ,2004,157
De 80 a 84 años  ,2003,179
De 80 a 84 años  ,2002,149
De 80 a 84 años  ,2001,121
De 80 a 84 años  ,2000,152
De 85 a 89 años  ,2020,146
De 85 a 89 años  ,2019,118
De 85 a 89 años  ,2018,134
De 85 a 89 años  ,2017,143
De 85 a 89 años  ,2016,106
De 85 a 89 años  ,2015,131
De 85 a 89 años  ,2014,152
De 85 a 89 años  ,2013,106
De 85 a 89 años  ,2012,104
De 85 a 89 años  ,2011,92
De 85 a 89 años  ,2010,109
De 85 a 89 años  ,2009,111
De 85 a 89 años  ,2008,84
De 85 a 89 años  ,2007,122
De 85 a 89 años  ,2006,83
De 85 a 89 años  ,2005,85
De 85 a 89 años  ,2004,88
De 85 a 89 años  ,2003,96
De 85 a 89 años  ,2002,91
De 85 a 89 años  ,2001,110
De 85 a 89 años  ,2000,102
De 90 a 94 años  ,2020,77
De 90 a 94 años  ,2019,63
De 90 a 94 años  ,2018,56
De 90 a 94 años  ,2017,56
De 90 a 94 años  ,2016,60
De 90 a 94 años  ,2015,50
De 90 a 94 años  ,2014,50
De 90 a 94 años  ,2013,35
De 90 a 94 años  ,2012,43
De 90 a 94 años  ,2011,31
De 90 a 94 años  ,2010,38
De 90 a 94 años  ,2009,34
De 90 a 94 años  ,2008,31
De 90 a 94 años  ,2007,28
De 90 a 94 años  ,2006,32
De 90 a 94 años  ,2005,43
De 90 a 94 años  ,2004,35
De 90 a 94 años  ,2003,22
De 90 a 94 años  ,2002,34
De 90 a 94 años  ,2001,27
De 90 a 94 años  ,2000,34
95 y más años,2020,21
95 y más años,2019,13
95 y más años,2018,8
95 y más años,2017,12
95 y más años,2016,12
95 y más años,2015,9
95 y más años,2014,7
95 y más años,2013,5
95 y más años,2012,10
95 y más años,2011,3
95 y más años,2010,6
95 y más años,2009,4
95 y más años,2008,8
95 y más años,2007,7
95 y más años,2006,9
95 y más años,2005,6
95 y más años,2004,11
95 y más años,2003,12
95 y más años,2002,9
95 y más años,2001,7
95 y más años,2000,3
