Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
05 Canarias;3.000 euros o más;Gasto total;2008;3.842.093,11
05 Canarias;3.000 euros o más;Gasto total;2007;3.933.332,27
05 Canarias;3.000 euros o más;Gasto total;2006;4.385.709,13
05 Canarias;3.000 euros o más;Distribución porcentual;2020;20,39
05 Canarias;3.000 euros o más;Distribución porcentual;2019;22,94
05 Canarias;3.000 euros o más;Distribución porcentual;2018;17,31
05 Canarias;3.000 euros o más;Distribución porcentual;2017;21,98
05 Canarias;3.000 euros o más;Distribución porcentual;2016;16,88
05 Canarias;3.000 euros o más;Distribución porcentual;2015;17,64
05 Canarias;3.000 euros o más;Distribución porcentual;2014;15,6
05 Canarias;3.000 euros o más;Distribución porcentual;2013;15,24
05 Canarias;3.000 euros o más;Distribución porcentual;2012;16,29
05 Canarias;3.000 euros o más;Distribución porcentual;2011;20,22
05 Canarias;3.000 euros o más;Distribución porcentual;2010;19,9
05 Canarias;3.000 euros o más;Distribución porcentual;2009;21,28
05 Canarias;3.000 euros o más;Distribución porcentual;2008;19,99
05 Canarias;3.000 euros o más;Distribución porcentual;2007;20,92
05 Canarias;3.000 euros o más;Distribución porcentual;2006;23,49
05 Canarias;3.000 euros o más;Gasto medio por hogar;2020;34.404,05
05 Canarias;3.000 euros o más;Gasto medio por hogar;2019;45.160,45
05 Canarias;3.000 euros o más;Gasto medio por hogar;2018;42.248,66
05 Canarias;3.000 euros o más;Gasto medio por hogar;2017;43.279,72
05 Canarias;3.000 euros o más;Gasto medio por hogar;2016;44.127,33
05 Canarias;3.000 euros o más;Gasto medio por hogar;2015;41.755,52
05 Canarias;3.000 euros o más;Gasto medio por hogar;2014;46.780,44
05 Canarias;3.000 euros o más;Gasto medio por hogar;2013;42.082,28
05 Canarias;3.000 euros o más;Gasto medio por hogar;2012;44.048,01
05 Canarias;3.000 euros o más;Gasto medio por hogar;2011;46.559,79
05 Canarias;3.000 euros o más;Gasto medio por hogar;2010;44.270,55
05 Canarias;3.000 euros o más;Gasto medio por hogar;2009;43.261,6
05 Canarias;3.000 euros o más;Gasto medio por hogar;2008;49.104,15
05 Canarias;3.000 euros o más;Gasto medio por hogar;2007;53.138,22
05 Canarias;3.000 euros o más;Gasto medio por hogar;2006;52.369,91
05 Canarias;3.000 euros o más;Gasto medio por persona;2020;10.206,18
05 Canarias;3.000 euros o más;Gasto medio por persona;2019;14.493,58
05 Canarias;3.000 euros o más;Gasto medio por persona;2018;13.089,79
05 Canarias;3.000 euros o más;Gasto medio por persona;2017;12.911,65
05 Canarias;3.000 euros o más;Gasto medio por persona;2016;12.962,3
05 Canarias;3.000 euros o más;Gasto medio por persona;2015;12.915,06
05 Canarias;3.000 euros o más;Gasto medio por persona;2014;13.563,92
05 Canarias;3.000 euros o más;Gasto medio por persona;2013;12.774,45
05 Canarias;3.000 euros o más;Gasto medio por persona;2012;12.174,55
05 Canarias;3.000 euros o más;Gasto medio por persona;2011;13.245,72
05 Canarias;3.000 euros o más;Gasto medio por persona;2010;13.564,79
05 Canarias;3.000 euros o más;Gasto medio por persona;2009;13.297,45
05 Canarias;3.000 euros o más;Gasto medio por persona;2008;13.809,42
05 Canarias;3.000 euros o más;Gasto medio por persona;2007;13.834,56
05 Canarias;3.000 euros o más;Gasto medio por persona;2006;12.754,21
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2020;16.486,74
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2019;22.516,85
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2018;20.941,21
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2017;20.792,78
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2016;20.888,9
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2015;20.626,51
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2014;21.983,03
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2013;20.558,38
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2012;20.056,59
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2011;21.475,52
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2010;21.576,61
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2009;21.358,88
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2008;22.784,43
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2007;23.034,07
05 Canarias;3.000 euros o más;Gasto medio por unidad de consumo;2006;21.528,59
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2020;118,26
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2019;146,82
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2018;139
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2017;139,37
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2016;140,95
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2015;142,07
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2014;151,68
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2013;148,43
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2012;137,88
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2011;144,05
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2010;148,78
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2009;138,24
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2008;137,49
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2007;130,29
05 Canarias;3.000 euros o más;Índice sobre la media del gmp;2006;128,62
06 Cantabria;Total;Gasto total;2020;5.956.901,01
06 Cantabria;Total;Gasto total;2019;7.115.879,17
06 Cantabria;Total;Gasto total;2018;7.232.104,17
06 Cantabria;Total;Gasto total;2017;7.132.282,46
06 Cantabria;Total;Gasto total;2016;6.546.936,1
06 Cantabria;Total;Gasto total;2015;6.689.829,95
06 Cantabria;Total;Gasto total;2014;6.447.466,14
06 Cantabria;Total;Gasto total;2013;6.425.793,15
06 Cantabria;Total;Gasto total;2012;6.819.742,12
06 Cantabria;Total;Gasto total;2011;6.912.710,64
06 Cantabria;Total;Gasto total;2010;6.971.523,19
06 Cantabria;Total;Gasto total;2009;6.991.756,3
06 Cantabria;Total;Gasto total;2008;6.768.499,11
06 Cantabria;Total;Gasto total;2007;6.676.233,51
06 Cantabria;Total;Gasto total;2006;5.980.484,56
06 Cantabria;Total;Distribución porcentual;2020;100
06 Cantabria;Total;Distribución porcentual;2019;100
06 Cantabria;Total;Distribución porcentual;2018;100
06 Cantabria;Total;Distribución porcentual;2017;100
06 Cantabria;Total;Distribución porcentual;2016;100
06 Cantabria;Total;Distribución porcentual;2015;100
06 Cantabria;Total;Distribución porcentual;2014;100
06 Cantabria;Total;Distribución porcentual;2013;100
06 Cantabria;Total;Distribución porcentual;2012;100
06 Cantabria;Total;Distribución porcentual;2011;100
06 Cantabria;Total;Distribución porcentual;2010;100
06 Cantabria;Total;Distribución porcentual;2009;100
06 Cantabria;Total;Distribución porcentual;2008;100
06 Cantabria;Total;Distribución porcentual;2007;100
06 Cantabria;Total;Distribución porcentual;2006;100
06 Cantabria;Total;Gasto medio por hogar;2020;24.718,94
06 Cantabria;Total;Gasto medio por hogar;2019;29.541,87
06 Cantabria;Total;Gasto medio por hogar;2018;30.105,68
06 Cantabria;Total;Gasto medio por hogar;2017;30.171,52
06 Cantabria;Total;Gasto medio por hogar;2016;27.599,11
06 Cantabria;Total;Gasto medio por hogar;2015;28.313,09
06 Cantabria;Total;Gasto medio por hogar;2014;27.087,11
06 Cantabria;Total;Gasto medio por hogar;2013;27.308,34
06 Cantabria;Total;Gasto medio por hogar;2012;29.104,78
06 Cantabria;Total;Gasto medio por hogar;2011;29.767,87
06 Cantabria;Total;Gasto medio por hogar;2010;30.455,44
06 Cantabria;Total;Gasto medio por hogar;2009;31.203,8
06 Cantabria;Total;Gasto medio por hogar;2008;30.751,33
06 Cantabria;Total;Gasto medio por hogar;2007;31.333,17
06 Cantabria;Total;Gasto medio por hogar;2006;28.842,56
06 Cantabria;Total;Gasto medio por persona;2020;10.400,11
06 Cantabria;Total;Gasto medio por persona;2019;12.400,81
06 Cantabria;Total;Gasto medio por persona;2018;12.578,59
06 Cantabria;Total;Gasto medio por persona;2017;12.515,38
06 Cantabria;Total;Gasto medio por persona;2016;11.471,22
06 Cantabria;Total;Gasto medio por persona;2015;11.675,23
06 Cantabria;Total;Gasto medio por persona;2014;11.143,46
06 Cantabria;Total;Gasto medio por persona;2013;11.127,85
06 Cantabria;Total;Gasto medio por persona;2012;11.741,21
06 Cantabria;Total;Gasto medio por persona;2011;11.834,34
06 Cantabria;Total;Gasto medio por persona;2010;11.956,64
06 Cantabria;Total;Gasto medio por persona;2009;12.110,37
06 Cantabria;Total;Gasto medio por persona;2008;11.756,93
06 Cantabria;Total;Gasto medio por persona;2007;11.788,12
06 Cantabria;Total;Gasto medio por persona;2006;10.710,65
06 Cantabria;Total;Gasto medio por unidad de consumo;2020;15.140,47
06 Cantabria;Total;Gasto medio por unidad de consumo;2019;18.058,98
06 Cantabria;Total;Gasto medio por unidad de consumo;2018;18.373,14
06 Cantabria;Total;Gasto medio por unidad de consumo;2017;18.322,46
06 Cantabria;Total;Gasto medio por unidad de consumo;2016;16.795,97
06 Cantabria;Total;Gasto medio por unidad de consumo;2015;17.143,47
06 Cantabria;Total;Gasto medio por unidad de consumo;2014;16.353,15
06 Cantabria;Total;Gasto medio por unidad de consumo;2013;16.382,65
06 Cantabria;Total;Gasto medio por unidad de consumo;2012;17.352,34
06 Cantabria;Total;Gasto medio por unidad de consumo;2011;17.564,46
06 Cantabria;Total;Gasto medio por unidad de consumo;2010;17.798,48
06 Cantabria;Total;Gasto medio por unidad de consumo;2009;18.061,92
06 Cantabria;Total;Gasto medio por unidad de consumo;2008;17.598,49
06 Cantabria;Total;Gasto medio por unidad de consumo;2007;17.722,69
06 Cantabria;Total;Gasto medio por unidad de consumo;2006;16.134,38
06 Cantabria;Total;Índice sobre la media del gmp;2020;100
06 Cantabria;Total;Índice sobre la media del gmp;2019;100
06 Cantabria;Total;Índice sobre la media del gmp;2018;100
06 Cantabria;Total;Índice sobre la media del gmp;2017;100
06 Cantabria;Total;Índice sobre la media del gmp;2016;100
06 Cantabria;Total;Índice sobre la media del gmp;2015;100
06 Cantabria;Total;Índice sobre la media del gmp;2014;100
06 Cantabria;Total;Índice sobre la media del gmp;2013;100
06 Cantabria;Total;Índice sobre la media del gmp;2012;100
06 Cantabria;Total;Índice sobre la media del gmp;2011;100
06 Cantabria;Total;Índice sobre la media del gmp;2010;100
06 Cantabria;Total;Índice sobre la media del gmp;2009;100
06 Cantabria;Total;Índice sobre la media del gmp;2008;100
06 Cantabria;Total;Índice sobre la media del gmp;2007;100
06 Cantabria;Total;Índice sobre la media del gmp;2006;100
06 Cantabria;Hasta 999 euros;Gasto total;2020;569.076,12
06 Cantabria;Hasta 999 euros;Gasto total;2019;665.313,15
06 Cantabria;Hasta 999 euros;Gasto total;2018;676.199,74
06 Cantabria;Hasta 999 euros;Gasto total;2017;619.141,15
06 Cantabria;Hasta 999 euros;Gasto total;2016;744.161,7
06 Cantabria;Hasta 999 euros;Gasto total;2015;720.869,34
06 Cantabria;Hasta 999 euros;Gasto total;2014;815.022,65
06 Cantabria;Hasta 999 euros;Gasto total;2013;806.585,21
06 Cantabria;Hasta 999 euros;Gasto total;2012;832.565,59
06 Cantabria;Hasta 999 euros;Gasto total;2011;830.083,32
06 Cantabria;Hasta 999 euros;Gasto total;2010;693.412,29
06 Cantabria;Hasta 999 euros;Gasto total;2009;705.413,73
06 Cantabria;Hasta 999 euros;Gasto total;2008;700.016,61
06 Cantabria;Hasta 999 euros;Gasto total;2007;678.363,96
06 Cantabria;Hasta 999 euros;Gasto total;2006;768.513,61
06 Cantabria;Hasta 999 euros;Distribución porcentual;2020;9,55
06 Cantabria;Hasta 999 euros;Distribución porcentual;2019;9,35
06 Cantabria;Hasta 999 euros;Distribución porcentual;2018;9,35
06 Cantabria;Hasta 999 euros;Distribución porcentual;2017;8,68
06 Cantabria;Hasta 999 euros;Distribución porcentual;2016;11,37
06 Cantabria;Hasta 999 euros;Distribución porcentual;2015;10,78
06 Cantabria;Hasta 999 euros;Distribución porcentual;2014;12,64
06 Cantabria;Hasta 999 euros;Distribución porcentual;2013;12,55
06 Cantabria;Hasta 999 euros;Distribución porcentual;2012;12,21
06 Cantabria;Hasta 999 euros;Distribución porcentual;2011;12,01
06 Cantabria;Hasta 999 euros;Distribución porcentual;2010;9,95
06 Cantabria;Hasta 999 euros;Distribución porcentual;2009;10,09
06 Cantabria;Hasta 999 euros;Distribución porcentual;2008;10,34
06 Cantabria;Hasta 999 euros;Distribución porcentual;2007;10,16
06 Cantabria;Hasta 999 euros;Distribución porcentual;2006;12,85
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2020;14.016,02
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2019;16.180,7
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2018;15.196,2
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2017;15.376,88
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2016;16.064,81
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2015;13.906,88
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2014;13.490,08
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2013;14.371,63
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2012;15.843,19
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2011;16.295,96
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2010;16.045,57
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2009;15.327,87
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2008;15.604,15
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2007;14.697,15
06 Cantabria;Hasta 999 euros;Gasto medio por hogar;2006;16.315,21
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2020;8.351,75
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2019;10.134,02
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2018;9.560,98
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2017;8.451,61
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2016;9.208,63
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2015;8.044,21
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2014;8.419,34
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2013;8.720,95
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2012;10.293,91
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2011;9.991,82
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2010;9.811,44
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2009;10.586,01
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2008;9.910,93
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2007;9.036,55
06 Cantabria;Hasta 999 euros;Gasto medio por persona;2006;9.251,8
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2020;10.748,96
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2019;12.769,79
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2018;12.003,26
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2017;11.205,37
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2016;12.104
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2015;10.478,56
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2014;10.547,38
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2013;11.046,48
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2012;12.629,69
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2011;12.561,98
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2010;12.455,79
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2009;12.661,52
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2008;12.355,8
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2007;11.369,5
06 Cantabria;Hasta 999 euros;Gasto medio por unidad de consumo;2006;11.928,35
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2020;80,3
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2019;81,72
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2018;76,01
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2017;67,53
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2016;80,28
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2015;68,9
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2014;75,55
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2013;78,37
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2012;87,67
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2011;84,43
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2010;82,06
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2009;87,41
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2008;84,3
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2007;76,66
06 Cantabria;Hasta 999 euros;Índice sobre la media del gmp;2006;86,38
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2020;1.929.102,4
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2019;1.918.690,12
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2018;2.082.076,66
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2017;2.267.049,78
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2016;2.207.739,65
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2015;2.236.344,55
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2014;2.209.167,26
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2013;2.164.087,35
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2012;2.419.688,98
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2011;2.405.826,55
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2010;2.187.306,35
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2009;2.154.591,94
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2008;2.441.638,95
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2007;2.681.010,65
06 Cantabria;De 1.000 a 1.999 euros;Gasto total;2006;2.400.195,61
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2020;32,38
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2019;26,96
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2018;28,79
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2017;31,79
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2016;33,72
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2015;33,43
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2014;34,26
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2013;33,68
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2012;35,48
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2011;34,8
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2010;31,37
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2009;30,82
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2008;36,07
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2007;40,16
06 Cantabria;De 1.000 a 1.999 euros;Distribución porcentual;2006;40,13
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2020;21.104,37
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2019;23.606,55
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2018;24.857,15
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2017;25.046,24
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2016;23.274,47
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2015;24.590,25
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2014;24.457
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2013;24.134,24
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2012;26.054,48
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2011;26.032,56
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2010;25.379,07
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2009;27.050,64
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2008;27.625,8
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2007;29.222,27
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por hogar;2006;25.176,88
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2020;10.282,78
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2019;12.002,63
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2018;11.668,66
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2017;11.896,77
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2016;10.794,07
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2015;11.025,82
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2014;10.372,32
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2013;10.466,4
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2012;10.862,74
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2011;11.079,04
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2010;10.803,52
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2009;11.255,74
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2008;11.533,86
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2007;11.411,59
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por persona;2006;9.971,39
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2020;14.160,39
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2019;16.217,98
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2018;16.328,64
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2017;16.606,46
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2016;15.201,76
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2015;15.679,9
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2014;15.068,77
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2013;15.172,48
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2012;15.897,88
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2011;16.140,87
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2010;15.682,2
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2009;16.454,67
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2008;16.804,92
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2007;17.103,47
06 Cantabria;De 1.000 a 1.999 euros;Gasto medio por unidad de consumo;2006;14.783,22
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2020;98,87
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2019;96,79
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2018;92,77
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2017;95,06
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2016;94,1
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2015;94,44
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2014;93,08
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2013;94,06
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2012;92,52
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2011;93,62
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2010;90,36
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2009;92,94
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2008;98,1
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2007;96,81
06 Cantabria;De 1.000 a 1.999 euros;Índice sobre la media del gmp;2006;93,1
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2020;1.795.012,96
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2019;2.453.079,05
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2018;2.316.913,89
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2017;1.995.162,62
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2016;2.003.145,01
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2015;1.984.364,05
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2014;1.939.781,59
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2013;2.051.559,27
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2012;2.120.402,18
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2011;2.076.405,32
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2010;2.225.273,37
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2009;2.018.319,18
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2008;2.100.493,51
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2007;1.729.155,46
06 Cantabria;De 2.000 a 2.999 euros;Gasto total;2006;1.590.892,04
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2020;30,13
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2019;34,47
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2018;32,04
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2017;27,97
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2016;30,6
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2015;29,66
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2014;30,09
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2013;31,93
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2012;31,09
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2011;30,04
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2010;31,92
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2009;28,87
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2008;31,03
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2007;25,9
06 Cantabria;De 2.000 a 2.999 euros;Distribución porcentual;2006;26,6
06 Cantabria;De 2.000 a 2.999 euros;Gasto medio por hogar;2020;27.164,21
06 Cantabria;De 2.000 a 2.999 euros;Gasto medio por hogar;2019;32.311,12
06 Cantabria;De 2.000 a 2.999 euros;Gasto medio por hogar;2018;34.372,01
