Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Hasta 999 euros;Gasto total;2016;63.839.528,42
Total Nacional;Hasta 999 euros;Gasto total;2015;65.604.304,67
Total Nacional;Hasta 999 euros;Gasto total;2014;68.616.340,17
Total Nacional;Hasta 999 euros;Gasto total;2013;71.859.943,29
Total Nacional;Hasta 999 euros;Gasto total;2012;69.761.235,73
Total Nacional;Hasta 999 euros;Gasto total;2011;64.673.903,86
Total Nacional;Hasta 999 euros;Gasto total;2010;62.713.868,82
Total Nacional;Hasta 999 euros;Gasto total;2009;59.497.461,6
Total Nacional;Hasta 999 euros;Gasto total;2008;56.470.964,71
Total Nacional;Hasta 999 euros;Gasto total;2007;59.938.932,04
Total Nacional;Hasta 999 euros;Gasto total;2006;63.488.918,71
Total Nacional;Hasta 999 euros;Distribución porcentual;2020;9,06
Total Nacional;Hasta 999 euros;Distribución porcentual;2019;8,55
Total Nacional;Hasta 999 euros;Distribución porcentual;2018;10,06
Total Nacional;Hasta 999 euros;Distribución porcentual;2017;10,83
Total Nacional;Hasta 999 euros;Distribución porcentual;2016;12,37
Total Nacional;Hasta 999 euros;Distribución porcentual;2015;13,13
Total Nacional;Hasta 999 euros;Distribución porcentual;2014;13,97
Total Nacional;Hasta 999 euros;Distribución porcentual;2013;14,65
Total Nacional;Hasta 999 euros;Distribución porcentual;2012;13,76
Total Nacional;Hasta 999 euros;Distribución porcentual;2011;12,55
Total Nacional;Hasta 999 euros;Distribución porcentual;2010;12,17
Total Nacional;Hasta 999 euros;Distribución porcentual;2009;11,45
Total Nacional;Hasta 999 euros;Distribución porcentual;2008;10,53
Total Nacional;Hasta 999 euros;Distribución porcentual;2007;11,49
Total Nacional;Hasta 999 euros;Distribución porcentual;2006;13,06
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2020;14.506,66
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2019;15.311,06
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2018;15.330,16
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2017;15.349,8
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2016;15.377,17
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2015;15.238,65
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2014;15.056,82
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2013;15.546,8
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2012;15.834,98
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2011;15.857,83
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2010;15.829,06
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2009;15.907,38
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2008;16.043,92
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2007;15.659,48
Total Nacional;Hasta 999 euros;Gasto medio por hogar;2006;15.247,2
Total Nacional;Hasta 999 euros;Gasto medio por persona;2020;8.236
Total Nacional;Hasta 999 euros;Gasto medio por persona;2019;9.001,05
Total Nacional;Hasta 999 euros;Gasto medio por persona;2018;8.848,59
Total Nacional;Hasta 999 euros;Gasto medio por persona;2017;8.462,12
Total Nacional;Hasta 999 euros;Gasto medio por persona;2016;8.221,52
Total Nacional;Hasta 999 euros;Gasto medio por persona;2015;7.872,95
Total Nacional;Hasta 999 euros;Gasto medio por persona;2014;7.598,24
Total Nacional;Hasta 999 euros;Gasto medio por persona;2013;7.815,97
Total Nacional;Hasta 999 euros;Gasto medio por persona;2012;8.105,48
Total Nacional;Hasta 999 euros;Gasto medio por persona;2011;8.505,15
Total Nacional;Hasta 999 euros;Gasto medio por persona;2010;8.525,42
Total Nacional;Hasta 999 euros;Gasto medio por persona;2009;8.792,02
Total Nacional;Hasta 999 euros;Gasto medio por persona;2008;9.454,87
Total Nacional;Hasta 999 euros;Gasto medio por persona;2007;9.049,72
Total Nacional;Hasta 999 euros;Gasto medio por persona;2006;8.473,65
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2020;10.818,98
Total Nacional;Hasta 999 euros;Gasto medio por unidad de consumo;2019;11.643,42
