Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2012	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2011	87
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2010	96
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2009	104
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2008	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2007	77
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2006	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2005	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2004	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2003	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2002	58
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2001	48
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2000	59
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2020	208
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2019	197
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2018	193
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2017	200
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2016	183
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2015	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2014	178
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2013	185
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2012	189
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2011	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2010	156
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2009	160
