Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2009	59
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2008	52
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2007	62
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2006	41
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2005	56
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2004	59
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2003	53
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2002	56
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2001	44
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	15 Navarra, Comunidad Foral de	2000	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2020	179
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2019	137
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2018	163
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2017	182
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2016	179
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2015	168
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2014	186
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2013	181
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2012	180
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2011	172
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2010	126
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2009	167
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2008	171
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2007	179
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2006	148
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2005	170
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2004	171
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2003	162
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2002	188
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2001	153
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	16 País Vasco	2000	169
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2020	29
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2019	29
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2018	21
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2017	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2016	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2015	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2014	31
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2013	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2012	30
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2011	23
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2010	17
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2009	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2008	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2007	19
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2006	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2005	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2004	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2003	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2002	34
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2001	33
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	17 Rioja, La	2000	18
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2020	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2019	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2018	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2017	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2016	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2015	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2014	6
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2013	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2012	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2011	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2010	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2009	8
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2008	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2007	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2006	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2005	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2004	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2003	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2002	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2001	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	18 Ceuta	2000	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2020	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2019	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2018	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2017	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2016	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2015	4
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2014	5
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2013	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2012	6
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2011	5
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2010	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2009	5
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2008	7
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2007	6
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2006	0
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2005	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2004	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2003	1
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2002	3
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2001	2
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	19 Melilla	2000	2
